Input sentence,Output sentence
মোট ক্ষটি প্রস্তুতকারকদের থেকে কম - দামী’আই চার ভাগের তিন ভাগ ।,মোট ক্ষটি প্রস্তুতকারকদের মধ্যে কম - দামী’আই চার ভাগের তিন ভাগ ।
"কম - দামীরা সকলেই বিক্রি করে ফটকিরি সাবান , ছাই , চক , ডারবিশায়ারের পাথর চুর্ণ ও মেশানর উপযোগী ও অনুপযোগী ভোজাল - মেশানো রুটি ।","কম - দামীরা সকলেই বিক্রি করে ফটকিরি সাবান , ছাই , চক , ডারবিশায়ারের পাথর চুর্ণ ও মেশানর উপযোগী ও অনুপযোগী ভোজাল - মেশানো রুটি ।"
"যার দ্বারা , স্বাস্থ্যের উপর ভেজালের প্রতিক্রিয়া তো রয়েছেই ।","তার উপরে , স্বাস্থ্যের উপর ভেজালের প্রতিক্রিয়া তো রয়েছেই ।"
এই ভেজাল মেশানর ফল ত্রিমেনজর বর্ণনা করেছেন শ্রমিকদের বেশির ভাগ যদিও জানে এবং কখনই ফটকিরি ও পাথর চুর্ণকে তাদের ক্রয়ের থেকে গ্রহণ করতে চায় না তবুও যেহেতু সপ্তাহ না পার হলে তারা মজুরি পায় না যেহেতু বাধ্য হয়েই গরিব মানুষেরা এই ভেজাল রুটি কিনে থাকে ।,এই ভেজাল মেশানর ফল ত্রিমেনজর বর্ণনা করেছেন শ্রমিকদের বেশির ভাগ যদিও জানে এবং কখনই ফটকিরি ও পাথর চুর্ণকে তাদের ক্রয়ের মধ্যে গ্রহণ করতে চায় না তবুও যেহেতু সপ্তাহ না পার হলে তারা মজুরি পায় না যেহেতু বাধ্য হয়েই গরিব মানুষেরা এই ভেজাল রুটি কিনে থাকে ।
এই সময়ের জন্য মালিকরা তাদের দোকান এর বাকিতে বেশি দামে জিনিস নিতে শ্রমিকদের বাধ্য করে ।,এই সময়ের জন্য মালিকরা তাদের দোকান থেকে বাকিতে বেশি দামে জিনিস নিতে শ্রমিকদের বাধ্য করে ।
সপ্তাহ শেষের আগে তারা মজুরী পায় না বলে সপ্তাহের থেকে তাদের পরিবারবর্গ যে রুটি গ্রহণ করে যার দাম সপ্তাহ শেষ না হলে তারা পরিশোধ করতে পারে না ।,সপ্তাহ শেষের আগে তারা মজুরী পায় না বলে সপ্তাহের মধ্যে তাদের পরিবারবর্গ যে রুটি গ্রহণ করে তার দাম সপ্তাহ শেষ না হলে তারা পরিশোধ করতে পারে না ।
"সাক্ষীর এই সাক্ষ্যের দ্বারা টরমনহের যুক্ত করেন , এটা সর্বজনবিদিত যে ঐসব ভেজালমিশ্রিত রুটি এমনি করে বিশেষভাবে বিক্রয়ের জন্য তৈরী হয় ।","সাক্ষীর এই সাক্ষ্যের সঙ্গে টরমনহের যুক্ত করেন , এটা সর্বজনবিদিত যে ঐসব ভেজালমিশ্রিত রুটি এমনি করে বিশেষভাবে বিক্রয়ের জন্য তৈরী হয় ।"
"এখনও বহু ইংরেজ ও স্কচ কৃষিজেলায় মজুরি দেওয়া হয় পক্ষ হিসেবে , মাসিক হিসেবেও ।","এখনও বহু ইংরেজ ও স্কচ কৃষিজেলায় মজুরি দেওয়া হয় পক্ষ হিসেবে , মাসিক হিসেবেও ।"
মজুরী পাওয়ার এই দীর্ঘ ব্যবধানের জন্য কৃষকরা ধারে ক্রয় করতে বাধ্য হয়……এজন্য তাকে অবশ্যই বেশী দাম দিতে হয় এবং বস্তুতপক্ষে তাকে যে দোকানে ধারে দেয় যার কাছে বাঁধাধরা থাকতে হয় ।,মজুরী পাওয়ার এই দীর্ঘ ব্যবধানের জন্য কৃষকরা ধারে ক্রয় করতে বাধ্য হয়……এজন্য তাকে অবশ্যই বেশী দাম দিতে হয় এবং বস্তুতপক্ষে তাকে যে দোকানে ধারে দেয় তার কাছে বাঁধাধরা থাকতে হয় ।
উদাহরণস্বরূপ উইলটের হরনিংহামের কথা বলা যায় সেখানে মাসিক মজুরীর ব্যবস্থা আছে ।,উদাহরণস্বরূপ উইলটের হরনিংহামের কথা বলা যায় যেখানে মাসিক মজুরীর ব্যবস্থা আছে ।
"এটা পরিষ্কার যে আপেক্ষিক উৎপাদিত পরিমাণ কিংবা অস্থির মূলধনের দ্বারা উদ্ব - মূল্যের অনুপাতের ভিতরে , যা অভিব্যক্ত হয় উ ভিতরে ।","এটা পরিষ্কার যে আপেক্ষিক উৎপাদিত পরিমাণ কিংবা অস্থির মূলধনের সঙ্গে উদ্ব - মূল্যের অনুপাতের দ্বারা , যা অভিব্যক্ত হয় উ দ্বারা ।"
"অস্থির মূলধনের মূল্যে এই আপেক্ষিক বৃদ্ধিকে , কিংবা উদ্ধও মূল্যের আপেক্ষিক আয়তনকে আমরা বলি উত্তমূল্যের হার ।","অস্থির মূলধনের মূল্যে এই আপেক্ষিক বৃদ্ধিকে , কিংবা উদ্ধও মূল্যের আপেক্ষিক আয়তনকে আমরা বলি উত্তমূল্যের হার” ।"
"যেহেতু এখন যার কাজ শ্রমের সামাজিক বিভাজনের দ্বারা প্রতিষ্ঠিত একটি প্রণালীর অংশমাত্র , সে আর প্রত্যক্ষভাবে যেই সব আবশ্যিক দ্রব্য উৎপাদন করে না , যেগুলি সে নিজে পরিভোগ করে , পরিবর্তে সে উৎপাদন করে একটি মাত্র পণ্য , যেমন সুতো , তার মূল্য ঐ আবশ্যিক ।","যেহেতু এখন তার কাজ শ্রমের সামাজিক বিভাজনের উপরে প্রতিষ্ঠিত একটি প্রণালীর অংশমাত্র , সে আর প্রত্যক্ষভাবে সেই সব আবশ্যিক দ্রব্য উৎপাদন করে না , যেগুলি সে নিজে পরিভোগ করে , পরিবর্তে সে উৎপাদন করে একটি মাত্র পণ্য , যেমন সুতো , যার মূল্য ঐ আবশ্যিক ।"
"দ্রব্যাদির মূল্যের সমান কিংবা যে - পরিমাণ অর্থের সাহায্যে সেগুলি ক্রয় করা যায় , যার সমান ।","দ্রব্যাদির মূল্যের সমান কিংবা যে - পরিমাণ অর্থের সাহায্যে সেগুলি ক্রয় করা যায় , তার সমান ।"
"তারা দিনের শ্রমের যে - অংশ এই উদ্দেশ্যে নিয়োজিত হয় , তা বেশি বা কম হবে , যার গড়ে দৈনিক কত পরিমাণ দ্রব্য প্রয়োজন হয় , যার মূল্যের অনুপাতে ; অথবা ভাষান্তরে বলা যায় , ঐ দ্রব্যাদি উৎপাদন করতে গড়ে কত শ্রম - সময়ের প্রয়োজন হয় যার অনুপাতে ।","তারা দিনের শ্রমের যে - অংশ এই উদ্দেশ্যে নিয়োজিত হয় , তা বেশি বা কম হবে , তার গড়ে দৈনিক কত পরিমাণ দ্রব্য প্রয়োজন হয় , তার মূল্যের অনুপাতে ; অথবা ভাষান্তরে বলা যায় , ঐ দ্রব্যাদি উৎপাদন করতে গড়ে কত শ্রম - সময়ের প্রয়োজন হয় তার অনুপাতে ।"
"যদি ধনিকের জন্য কাজ না করে , সে যার নিজের জন্য স্বাধীন ভাবে কাজ করত , তা হলেও বাকি সব কিছু একই রকম থাকলে , যার শ্রমশক্তির মূল্য উৎপাদন করতে এবং এই ভাবে যার অস্তিত্ব - সংবরণ কিংবা অব্যাহত পুনরুৎপাদনের জন্য প্রয়োজনীয় জীবনধারণের সামগ্রী অর্জন করতে তাকে একই সংখ্যক ঘণ্টা এম করতে হত ।","যদি ধনিকের জন্য কাজ না করে , সে তার নিজের জন্য স্বাধীন ভাবে কাজ করত , তা হলেও বাকি সব কিছু একই রকম থাকলে , তার শ্রমশক্তির মূল্য উৎপাদন করতে এবং এই ভাবে তার অস্তিত্ব - সংবরণ কিংবা অব্যাহত পুনরুৎপাদনের জন্য প্রয়োজনীয় জীবনধারণের সামগ্রী অর্জন করতে তাকে একই সংখ্যক ঘণ্টা এম করতে হত ।"
"কিন্তু যেমন আমরা দেখেছি , যার দিনের শ্রমের যে - অংশে সে যার শ্ৰম - শক্তির মূল্য , ধরা যাক তিন শিলিং , উৎপাদন করে , অথচ সে কেবল যার শ্রমশক্তির জন্য ধনিক ইতিপূর্বেই যে - মূল্য অগ্রিম দিয়েছে তারই সমার্য সামগ্রী উৎপাদন করে ;  নূতন সৃষ্ট মূল্য কেবল অগ্রিম - প্রদত্ত মূল্যটিকেই প্রতিস্থাপিত করে ।","কিন্তু যেমন আমরা দেখেছি , তার দিনের শ্রমের যে - অংশে সে তার শ্ৰম - শক্তির মূল্য , ধরা যাক তিন শিলিং , উৎপাদন করে , অথচ সে কেবল তার শ্রমশক্তির জন্য ধনিক ইতিপূর্বেই যে - মূল্য অগ্রিম দিয়েছে তারই সমার্য সামগ্রী উৎপাদন করে ;  নূতন সৃষ্ট মূল্য কেবল অগ্রিম - প্রদত্ত মূল্যটিকেই প্রতিস্থাপিত করে ।"
এই ঘটনার দরুনই তিন শিলিং পরিমাণ নূতন মূল্যটির উৎপাদন কেবল পুনরুৎপাদনেরই চেহারা ধারণ করে ।,এই ঘটনার দরুনই তিন শিলিং পরিমাণ নূতন মূল্যটির উৎপাদন কেবল পুনরুৎপাদনেরই চেহারা ধারণ করে ।
"তা হলে শ্রম - দিবসের যে - অংশটিতে পুনরুৎপাদন সংঘটিত হয় , তাকে আমি আবশ্যিক” শ্রম - সময় , এবং যেই সময়ে ব্যয়িত শ্রমকে বলি আবশ্যিক শ্রম ।","তা হলে শ্রম - দিবসের যে - অংশটিতে পুনরুৎপাদন সংঘটিত হয় , তাকে আমি আবশ্যিক” শ্রম - সময় , এবং সেই সময়ে ব্যয়িত শ্রমকে বলি আবশ্যিক” শ্রম ।"
"শ্রম - প্রক্রিয়ার দ্বিতীয় অংশে , তখন যার শ্রম আর আবশ্যিক শ্রম নয় , তখনো শ্রমিক , একথা সত্য , শ্রম করে , যার শ্রমশক্তি ব্যয় করে ; কিন্তু যেহেতু যখন যার শ্রম আর আবশ্যিক শ্রম নয় , সে যার নিজের জন্য কোনো মূল্য সৃষ্টি করে না ।","শ্রম - প্রক্রিয়ার দ্বিতীয় অংশে , যখন তার শ্রম আর আবশ্যিক শ্রম নয় , তখনো শ্রমিক , একথা সত্য , শ্রম করে , তার শ্রমশক্তি ব্যয় করে ; কিন্তু যেহেতু তখন তার শ্রম আর আবশ্যিক শ্রম নয় , সে তার নিজের জন্য কোনো মূল্য সৃষ্টি করে না ।"
"সে সৃষ্টি করে উদ্বৃত্ত - মূল্য , ধনিকের কাছে যা শূন্য এর সৃষ্ট কোন কিছুর মতই মনোমুগ্ধকর ।","সে সৃষ্টি করে উদ্বৃত্ত - মূল্য , ধনিকের কাছে যা শূন্য থেকে সৃষ্ট কোন কিছুর মতই মনোমুগ্ধকর ।"
শ্রম - দিবসের এই অংশটিকে আমি বলি উদ্বৃত্ত শ্রম - সময় ।,শ্রম - দিবসের এই অংশটিকে আমি বলি উদ্বৃত্ত শ্রম - সময় ।
"এটা সর্বতোভাবে গুরুত্বপূর্ণ যে , উদ্ব - মূল্যকে সঠিকভাবে বোঝার জন্য আমরা তাকে ধারণা করি উদ্বৃত্ত - শ্রম - সময়ের ঘনীভূত রূপ হিসাবে , সে সত্যিই যা ঠিক যেই হিসাবে অর্থাৎ নিছক বাস্তবায়িত উত্ত শ্রম হিসাবে ; মূল্যকে সঠিকভাবে বোঝার জন্য আমরা তাকে ধারণা করি এত ঘণ্টা শ্রমের ঘনীভূত রূপ হিসাবে , নিছক বাস্তবায়িত শ্রম হিসাবে ।","এটা সর্বতোভাবে গুরুত্বপূর্ণ যে , উদ্ব - মূল্যকে সঠিকভাবে বোঝার জন্য আমরা তাকে ধারণা করি উদ্বৃত্ত - শ্রম - সময়ের ঘনীভূত রূপ হিসাবে , সে সত্যিই যা ঠিক সেই হিসাবে অর্থাৎ নিছক বাস্তবায়িত উত্ত শ্রম হিসাবে ; মূল্যকে সঠিকভাবে বোঝার জন্য আমরা তাকে ধারণা করি এত ঘণ্টা শ্রমের ঘনীভূত রূপ হিসাবে , নিছক বাস্তবায়িত শ্রম হিসাবে ।"
"সমাজের বিভিন্ন অর্থ নৈতিক রূপের থেকে , যেমন দাস - শ্রমের দ্বারা ভিত্তিশীল সমাজ - রূপ এবং মজুরি শ্রমের দ্বারা ভিত্তিশীল সমাজ - রূপের থেকে মর্মগত পার্থক্য নিহিত থাকে কিভাবে প্রত্যেকটি ক্ষেত্রে আসল উৎপাদকের কাছ এর তথা শ্রমিকের কাছ এর এই উদ্ধ মূল্য নিষ্কর্ষিত করা হয় , কেবল যেই পদ্ধতিটির থেকে ।","সমাজের বিভিন্ন অর্থ নৈতিক রূপের মধ্যে , যেমন দাস - শ্রমের উপরে ভিত্তিশীল সমাজ - রূপ এবং মজুরি শ্রমের উপরে ভিত্তিশীল সমাজ - রূপের মধ্যে মর্মগত পার্থক্য নিহিত থাকে কিভাবে প্রত্যেকটি ক্ষেত্রে আসল উৎপাদকের কাছ থেকে তথা শ্রমিকের কাছ থেকে এই উদ্ধ মূল্য নিষ্কর্ষিত করা হয় , কেবল সেই পদ্ধতিটির মধ্যে ।"
"যদিও আমরা যে - ক্ষেত্রটি ধরে নিয়েছি , যেখানে এম দিবসের যথার্থ দৈর্ঘ্য সম্পর্কে এবং শ্রম - প্রক্রিয়ার স্থায়িত্বকালের দিন বা সপ্তাহ সম্পর্কে এবং যেই দ্বারা নিযুক্ত শ্রমিকের সংখ্যা সম্পর্কেও অজ্ঞ , তবু উত্তমূল্যের হার ও যার সমাৰ্থ আভিব্যক্তি ও - থেকে সাহায্যে শ্রম - দিবসের দুটি আবশ্যিক শ্রম ।","যদিও আমরা যে - ক্ষেত্রটি ধরে নিয়েছি , সেখানে এম দিবসের যথার্থ দৈর্ঘ্য সম্পর্কে এবং শ্রম - প্রক্রিয়ার স্থায়িত্বকালের দিন বা সপ্তাহ সম্পর্কে এবং সেই সঙ্গে নিযুক্ত শ্রমিকের সংখ্যা সম্পর্কেও অজ্ঞ , তবু উত্তমূল্যের হার ও তার সমাৰ্থ আভিব্যক্তি ও - এর সাহায্যে শ্রম - দিবসের দুটি আবশ্যিক শ্রম ।"
অংশের থেকে সম্পর্কটিকে আমাদের কাছে যথাযথভাবে প্রকাশ করে ।,অংশের মধ্যে সম্পর্কটিকে আমাদের কাছে যথাযথভাবে প্রকাশ করে ।
"অতএব , এটা পরিষ্কার যে আমাদের দৃষ্টান্তের শ্রমিকটি দিনের অর্ধাংশ কাজ করে নিজের জন্য , বাকি অর্ধাংশ ধনিকের জন্য ।","অতএব , এটা পরিষ্কার যে আমাদের দৃষ্টান্তের শ্রমিকটি দিনের অর্ধাংশ কাজ করে নিজের জন্য , বাকি অর্ধাংশ ধনিকের জন্য ।"
"সুতরাং উদ্বৃত্তমূল্য গণনা করার পদ্ধতিটি সংক্ষেপে এই : আমরা উৎপন্ন দ্রব্যটির মোট মূল্যটি নিই এবং স্থির মূলধনটি — যা ঐ দ্রব্যের থেকে কেবল পুনরাবির্ভূত হয় , তাকে - ধরি শূন্য ।","সুতরাং উদ্বৃত্তমূল্য গণনা করার পদ্ধতিটি সংক্ষেপে এই : আমরা উৎপন্ন দ্রব্যটির মোট মূল্যটি নিই এবং স্থির মূলধনটি — যা ঐ দ্রব্যের মধ্যে কেবল পুনরাবির্ভূত হয় , তাকে - ধরি শূন্য ।"
"যা থাকে , সেটাই হল একমাত্র মূল্য যেটা পণ্য উৎপাদনের প্রক্রিয়ায় সত্য সত্যই সৃষ্টি হয়েছে ।","যা থাকে , সেটাই হল একমাত্র মূল্য যেটা পণ্য উৎপাদনের প্রক্রিয়ায় সত্য সত্যই সৃষ্টি হয়েছে ।"
যদি উত্তমূল্যের পরিমাণটি দেওয়া থাকে তা হলে অস্থির মূলধনটি পেতে হলে আমাদের কেবল এই বাকি অংশটি এর তাকে বিয়োগ করতে হবে ।,যদি উত্তমূল্যের পরিমাণটি দেওয়া থাকে তা হলে অস্থির মূলধনটি পেতে হলে আমাদের কেবল এই বাকি অংশটি থেকে তাকে বিয়োগ করতে হবে ।
"এবং , উলটোটা করতে হবে — যদি অস্থির মূলধনটি দেওয়া থাকে , এবং আমাদের উদ্বৃত্ত - মূল্যটি পেতে হয় ।","এবং , উলটোটা করতে হবে — যদি অস্থির মূলধনটি দেওয়া থাকে , এবং আমাদের উদ্বৃত্ত - মূল্যটি পেতে হয় ।"
"যদি দুটিই দেওয়া থাকে , তা হলে আমাদের কেবল শেষের কাজটি করতে হবে , অর্থাৎ ও কে , অস্থির মূল ধনের দ্বারা উত্তমূল্যের অনুপাতটিকে হিসাব করতে হবে ।","যদি দুটিই দেওয়া থাকে , তা হলে আমাদের কেবল শেষের কাজটি করতে হবে , অর্থাৎ ও কে , অস্থির মূল ধনের সঙ্গে উত্তমূল্যের অনুপাতটিকে হিসাব করতে হবে ।"
"যদিও পদ্ধতিটি সরল , তা হলেও কয়েকটি উদাহরণের সাহায্যে পাঠককে এই পদ্ধতিটির অন্তর্নিহিত অভিনব নীতিগুলির প্রয়োগে অবহিত করা অবান্তর হবে না ।","যদিও পদ্ধতিটি সরল , তা হলেও কয়েকটি উদাহরণের সাহায্যে পাঠককে এই পদ্ধতিটির অন্তর্নিহিত অভিনব নীতিগুলির প্রয়োগে অবহিত করা অবান্তর হবে না ।"
"শ্রমিক যার কাজের দিনের অর্ধাংশেরও বেশি দিয়েছে উদ্বৃত্ত - মূল্য উৎপাদনের জন্য , যা বিভিন্ন ব্যক্তি বিভিন্ন অছিলায় নিজেদের থেকে ভাগাভাগি করে নিয়েছে ।","শ্রমিক তার কাজের দিনের অর্ধাংশেরও বেশি দিয়েছে উদ্বৃত্ত - মূল্য উৎপাদনের জন্য , যা বিভিন্ন ব্যক্তি বিভিন্ন অছিলায় নিজেদের মধ্যে ভাগাভাগি করে নিয়েছে ।"
"বাংলা পঞ্চম - ষষ্ঠ গ্রন্থে উত্তমূল্যের পরিচয় লাভের দ্বারা দ্বারা আমরা দেখতে পাব , মুনাফার হার কোনো কুহেলি নয় ।","বাংলা পঞ্চম - ষষ্ঠ গ্রন্থে উত্তমূল্যের পরিচয় লাভের সঙ্গে সঙ্গে আমরা দেখতে পাব , মুনাফার হার কোনো কুহেলি নয় ।"
"আমরা যদি প্রক্রিয়াটি উলটে দেই , তা হলে আমরা না বুঝতে পারব এটি , না বুঝতে পারব ওটি ।","আমরা যদি প্রক্রিয়াটি উলটে দেই , তা হলে আমরা না বুঝতে পারব এটি , না বুঝতে পারব ওটি ।"
"সময় এসে গেছে যখন প্রকাশ্যে, সাড়া জগতের সম্মখে কমিউনিস্টদের ঘোষণা করা উচিত তাদের মতামত কী, লক্ষ্য কী, তাদের ঝোঁক কোণ দিকে, এবং কমিউনিজমের ভূতের এই আষাঢ়ে গল্পের জবাব দেওয়া উচিত পার্টির একটা ইশতেহার দিয়েই।","সময় এসে গেছে যখন প্রকাশ্যে, সারা জগতের সম্মখে কমিউনিস্টদের ঘোষণা করা উচিত তাদের মতামত কী, লক্ষ্য কী, তাদের ঝোঁক কোন দিকে, এবং কমিউনিজমের ভূতের এই আষাঢ়ে গল্পের জবাব দেওয়া উচিত পার্টির একটা ইশতেহার দিয়েই।"
"এই উদ্দেশ্য নিয়ে নানা জাতির কমিউনিস্টরা লণ্ডনে সমবেত হয়ে নিম্নলিখিত ‘ইশতেহারটি’ প্রস্তুত করেছে; ইংরেজী, ফরাসী, জার্মান, ইতালীয়, ফ্লেমিশ এবং ডেনিশ ভাষায় এটি প্রকাশিত হবে।","এই উদ্দেশ্য নিয়ে নানা জাতির কমিউনিস্টরা লণ্ডনে সমবেত হয়ে নিম্নলিখিত ‘ইশতেহারটি’ প্রস্তুত করেছে; ইংরেজী, ফরাসী, জার্মান, ইতালীয়, ফ্লেমিশ এবং ডেনিশ ভাষায় এটি প্রকাশিত হবে।"
"সমাজের হাতে যত উৎপাদন-শক্তি আছে, বুর্জোয়া মালিকানার শত বিকাশে তা আর সাহায্য করছে না; বরং এই যে শর্তে সে শক্তি শৃঙ্খলিত ছিল তার তুলনায় এ শক্তি হয়ে উঠেছে অনেক বেশি প্রবল; শৃঙ্খলের বাঁধা তা কাটিয়ে ওঠা মাত্র সমস্ত বুর্জোয়া সমাজে এনে ফেলে বিশৃঙ্খলতা, বিপন্ন করে বুর্জোয়া মালিকানার অস্তিত্ব।","সমাজের হাতে যত উৎপাদন-শক্তি আছে, বুর্জোয়া মালিকানার শত বিকাশে তা আর সাহায্য করছে না; বরং এই যে শর্তে সে শক্তি শৃঙ্খলিত ছিল তার তুলনায় এ শক্তি হয়ে উঠেছে অনেক বেশি প্রবল; শৃঙ্খলের বাধা তা কাটিয়ে ওঠা মাত্র সমস্ত বুর্জোয়া সমাজে এনে ফেলে বিশৃঙ্খলতা, বিপন্ন করে বুর্জোয়া মালিকানার অস্তিত্ব।"
বুর্জোয়া সমাজ যে সম্পদ উৎপন্ন করে তাকে ধারণ করার পক্ষে বুর্জোয়া সমাজের অবস্থা বড়ুই সংকীর্ণ।,বুর্জোয়া সমাজ যে সম্পদ উৎপন্ন করে তাকে ধারণ করার পক্ষে বুর্জোয়া সমাজের অবস্থা বড়ুই সংকীর্ণ।
এই সংকট থেকে বুর্জোয়া শ্রেণী আবার কোণ উপায়ে নিস্তার পায়?,এই সংকট থেকে বুর্জোয়া শ্রেণী আবার কোন উপায়ে নিস্তার পায়?
